date, pm25, pm10, o3, no2, so2, co
2025/4/3, 59, 50, , 7, 1, 3
2025/4/4, 79, 49, , 13, , 4
2025/4/5, 100, 46, , 11, 1, 4
2025/4/6, 93, 52, , 7, 1, 3
2025/4/7, 73, 56, , 11, 1, 4
2025/4/8, 91, 51, , 13, 1, 4
2025/4/9, 86, 32, , 9, , 4
2025/4/10, 73, 28, , 7, 1, 5
2025/4/11, 68, 19, , 4, , 2
2025/4/12, 45, 105, , 6, 1, 2
2025/4/13, 113, 89, , 13, 2, 3
2025/4/14, 108, 84, , 12, 1, 4
2025/4/15, 104, 68, , 7, 1, 4
2025/4/16, 86, 62, , 5, 1, 
2025/4/17, 67, 55, , 6, 1, 3
2025/4/18, 70, 43, , 5, , 2
2025/4/19, 70, 31, , 8, , 3
2025/4/20, 71, 24, , 6, , 3
2025/4/21, 55, 30, , 5, , 2
2025/4/22, 65, 33, , 8, , 3
2025/4/23, 62, 31, , 5, , 5
2025/4/24, 66, 15, , 6, , 4
2025/4/25, 40, 16, , 6, , 3
2025/4/26, 35, 21, , 7, , 3
2025/4/27, 45, 32, , 10, , 5
2025/4/28, 73, 35, , 6, 1, 4
2025/4/29, 54, 45, , 10, 1, 4
2025/4/30, 75, 48, , 9, 1, 5
2025/5/1, 85, 47, , 7, 1, 6
2025/5/2, 93, 44, , 7, 1, 4
2025/5/3, 76, 41, , 5, , 4
2025/5/4, 68, 36, , 5, , 4
2025/5/5, 63, 37, , 8, , 5
2025/5/6, 76, 34, , 4, 1, 4
2025/5/7, 61, 41, , 5, , 4
2025/5/8, 67, 25, , 5, , 4
2025/5/9, 50, 25, , 7, , 4
2025/5/10, 51, 28, , 5, , 4
2025/5/11, 60, 38, , 6, 1, 4
2025/5/12, 74, 34, , 4, 1, 4
2025/5/13, 65, 34, , 5, 1, 5
2025/5/14, 71, 23, , 6, 1, 5
2025/5/15, 53, 14, , 6, 1, 4
2025/5/16, 25, 13, , 6, 1, 4
2025/5/17, 23, 17, , 7, 2, 3
2025/5/18, 32, 18, , 6, , 2
2025/5/19, 44, 26, , 7, 1, 3
2025/5/20, 47, 17, , 5, 1, 2
2025/5/21, 27, 31, , 7, 1, 2
2025/5/22, 63, 26, , 4, 1, 2
2025/5/23, 45, 20, , 5, 1, 1
2025/5/24, 37, 46, , 5, 1, 3
2025/5/25, 87, 37, , 5, 1, 2
2025/5/26, 76, 27, , 4, 1, 1
2025/5/27, 55, 24, , 5, , 2
2025/5/28, 48, 11, , 5, , 3
2025/5/29, 23, 25, , 2, , 2
2025/5/30, 54, 44, , 4, 1, 4
2025/5/31, 79, 37, , 4, , 4
2025/6/1, 77, 21, , 3, , 3
2025/6/2, 40, 14, , 3, , 4
2025/6/3, 23, 28, , 4, 1, 4
2025/6/4, 50, 33, , 5, 1, 3
